,traitname,traitdata-value,valuetotal,traitname,Sum_of_valuetotal,Name,Link,Total Mints,Min Trait Count,Max Trait Count,Number of Different Traits,traitcount,total
0,Type,0N1,392,Background,7777,0n1-force,https://rarity.tools/0n1-force,"7,777 Total 0N1 Force",5,10,284,5,7
1,Type,B4K3M0-N0,2100,Body,7777,,,,,,,10,7770
2,Type,K4M-1,7,Domain,7777,,,,,,,,
3,Type,Y0K-A1,5278,Extra,7777,,,,,,,,
4,Background,Azurite,1881,Eyes,7777,,,,,,,,
5,Background,Citrine,1905,Face,7777,,,,,,,,
6,Background,Dark Smoke,921,Hair,7777,,,,,,,,
7,Background,Jasper,1922,Head,7777,,,,,,,,
8,Background,Light Smoke,885,Helmet,7777,,,,,,,,
9,Background,Technogod,256,Mouth,7777,,,,,,,,
10,Background,Technogod (Azurite),2,Spirit,7777,,,,,,,,
11,Background,Technogod (Citrine),2,Strength,7777,,,,,,,,
12,Background,Technogod (Jasper),2,Style,7777,,,,,,,,
13,Background,Technogod (Pearl),1,Type,7777,,,,,,,,
14,Body,<none>,7,Wear,7777,,,,,,,,
15,Body,Ash,586,,,,,,,,,,
16,Body,Azurite,1835,,,,,,,,,,
17,Body,Citrine,1989,,,,,,,,,,
18,Body,Jasper,1875,,,,,,,,,,
19,Body,Kabuki,57,,,,,,,,,,
20,Body,Obsidian,613,,,,,,,,,,
21,Body,Pearlescent,70,,,,,,,,,,
22,Body,Tiger Skin,33,,,,,,,,,,
23,Body,Type-01,638,,,,,,,,,,
24,Body,Water,74,,,,,,,,,,
25,Eyes,<none>,7,,,,,,,,,,
26,Eyes,Aggressive,32,,,,,,,,,,
27,Eyes,Angry (Azurite),51,,,,,,,,,,
28,Eyes,Angry (Citrine),579,,,,,,,,,,
29,Eyes,Angry (Jasper),477,,,,,,,,,,
30,Eyes,Angry (Oni),44,,,,,,,,,,
31,Eyes,Closed Eye,107,,,,,,,,,,
32,Eyes,Eye Shadow (Azurite),743,,,,,,,,,,
33,Eyes,Eye Shadow (Citrine),281,,,,,,,,,,
34,Eyes,Eye Shadow (Jasper),428,,,,,,,,,,
35,Eyes,Eyebags,19,,,,,,,,,,
36,Eyes,Flat,82,,,,,,,,,,
37,Eyes,Half Open (Azurite),479,,,,,,,,,,
38,Eyes,Half Open (Citrine),408,,,,,,,,,,
39,Eyes,Half Open (Jasper),774,,,,,,,,,,
40,Eyes,Half Open (Oni),55,,,,,,,,,,
41,Eyes,Hypnotized,44,,,,,,,,,,
42,Eyes,Open (Azurite),510,,,,,,,,,,
43,Eyes,Open (Citrine),861,,,,,,,,,,
44,Eyes,Open (Jasper),392,,,,,,,,,,
45,Eyes,Possessed,89,,,,,,,,,,
46,Eyes,Squint (Azurite),452,,,,,,,,,,
47,Eyes,Squint (Citrine),220,,,,,,,,,,
48,Eyes,Squint (Jasper),643,,,,,,,,,,
49,Mouth,<none>,7,,,,,,,,,,
50,Mouth,Angry,420,,,,,,,,,,
51,Mouth,Angry (Oni),44,,,,,,,,,,
52,Mouth,Frown,2196,,,,,,,,,,
53,Mouth,Neutral,2127,,,,,,,,,,
54,Mouth,Open,401,,,,,,,,,,
55,Mouth,Smile,384,,,,,,,,,,
56,Mouth,Smirk,2155,,,,,,,,,,
57,Mouth,uwu,43,,,,,,,,,,
58,Wear,01-Hood,1,,,,,,,,,,
59,Wear,02-Bomber Jacket,1,,,,,,,,,,
60,Wear,03-Bomber Jacket,1,,,,,,,,,,
61,Wear,04-Kimono,1,,,,,,,,,,
62,Wear,05-Track Jacket,1,,,,,,,,,,
63,Wear,06-Hood,1,,,,,,,,,,
64,Wear,07-Kimono,1,,,,,,,,,,
65,Wear,Bomber Jacket (Jasper/Obsidian),187,,,,,,,,,,
66,Wear,Bomber Jacket (Obsidian/Pearl),181,,,,,,,,,,
67,Wear,Bomber Jacket (Pearl/Azurite),74,,,,,,,,,,
68,Wear,Bomber Jacket (Pine),472,,,,,,,,,,
69,Wear,Bomber Jacket (Rose),542,,,,,,,,,,
70,Wear,Bomber Jacket (Saddle),32,,,,,,,,,,
71,Wear,Dress (Obsidian),145,,,,,,,,,,
72,Wear,Dress (Pearl),87,,,,,,,,,,
73,Wear,Kimono (Azurite),17,,,,,,,,,,
74,Wear,Kimono (Rose),449,,,,,,,,,,
